"filename","last_modified"
"PATRIC_genomes_AMR.txt",2024-09-13
"562.144628.fna",2024-03-08
"562.144648.fna",2024-03-08
"562.144642.fna",2024-03-08
"562.144399.fna",2024-03-08
"562.144663.fna",2024-03-08
"562.144424.fna",2024-03-08
"562.144425.fna",2024-03-08
"562.144422.fna",2024-03-08
"562.144573.fna",2024-03-08
"562.144426.fna",2024-03-08
"1280.39512.fna",2022-07-16
"1280.39511.fna",2022-07-16
"1280.39514.fna",2022-07-16
"1280.39515.fna",2022-07-16
"1280.39516.fna",2022-07-16
"1280.39506.fna",2022-07-16
"1280.39507.fna",2022-07-16
"1280.39508.fna",2022-07-16
"1280.39509.fna",2022-07-16
"1313.45060.fna",2024-03-11
"1313.45061.fna",2024-03-11
"1313.45062.fna",2024-03-11
"1313.45064.fna",2024-03-11
"1313.45063.fna",2024-03-11
"1313.45065.fna",2024-03-11
"1313.45066.fna",2024-03-11
"1313.46590.fna",2024-03-08
"1313.46648.fna",2024-03-08
"1313.46660.fna",2024-03-08
"287.34439.fna",2024-03-11
"287.34434.fna",2024-03-11
"287.34444.fna",2024-03-11
"287.34437.fna",2024-03-11
"287.34433.fna",2024-03-11
"287.34446.fna",2024-03-11
"573.12900.fna",2018-08-11
"573.12961.fna",2018-08-11
"573.12980.fna",2018-08-11
"573.67358.fna",2024-03-08
"573.13002.fna",2018-08-11
"573.12890.fna",2018-08-11
"573.67342.fna",2024-03-08
"573.12935.fna",2018-08-11
"573.12863.fna",2018-08-11
"573.12873.fna",2018-08-11
"1496.33649.fna",2024-03-09
"1496.33648.fna",2024-03-09
"1496.33672.fna",2024-03-09
"1496.33562.fna",2024-03-09
"1496.33828.fna",2024-03-08
"1496.33819.fna",2024-03-09
"1496.33891.fna",2024-03-08
"1496.33801.fna",2024-03-08
"1496.33793.fna",2024-03-08
"487.4457.fna",2024-03-11
"487.4458.fna",2024-03-11
"487.4459.fna",2024-03-11
"487.4460.fna",2024-03-11
"487.4461.fna",2024-03-11
"487.4463.fna",2024-03-11
"487.4462.fna",2024-03-11
"487.4465.fna",2024-03-11
"487.4466.fna",2024-03-11
"487.4464.fna",2024-03-11
"1733.7295.fna",2019-03-02
"1733.7351.fna",2019-03-02
"1733.7334.fna",2019-03-02
"1733.7392.fna",2019-03-02
"1733.7276.fna",2019-03-02
"1733.7263.fna",2019-03-02
"1733.7118.fna",2019-03-02
"1733.7399.fna",2019-03-02
"1733.7347.fna",2019-03-02
"1733.7400.fna",2019-03-02
"1280.51884.fna",2024-04-16
"287.34825.fna",2024-04-16
"287.34824.fna",2024-04-16
"287.34823.fna",2024-04-16
"287.34822.fna",2024-04-16
"1496.34098.fna",2024-04-16
"562.144637.fna",2024-03-08
"562.144676.fna",2024-03-08
"562.144681.fna",2024-03-08
"562.144712.fna",2024-03-08
"562.144725.fna",2024-03-08
"562.144781.fna",2024-03-08
"562.144805.fna",2024-03-08
"562.144810.fna",2024-03-08
"562.144883.fna",2024-03-08
"562.144895.fna",2024-03-08
